@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
0, 1733.0, 95.0, 2, 6, 4, 175.0, 0, 1, 10, 1, 2, 0, 11, 0
1, 3158.0, 75.0, 1, 6, 4, 35.0, 0, 0, 0, 1, 2, 320, 1, 0
0, 3042.0, 1375.0, 2, 9, 8, 4.0, 0, 1, 3, 0, 2, 0, 34, 0
0, 3375.0, 75.0, 2, 4, 5, 1.0, 1, 1, 3, 1, 2, 212, 1, 0
1, 3483.0, 4.0, 2, 2, 5, 125.0, 1, 0, 0, 1, 2, 184, 1, 0
0, 1975.0, 75.0, 2, 8, 4, 795.0, 1, 1, 5, 1, 2, 140, 6, 0
1, 2042.0, 1085.0, 2, 11, 4, 15.0, 0, 0, 0, 0, 2, 108, 8, 0
1, 2192.0, 5.0, 2, 8, 4, 125.0, 0, 0, 0, 0, 2, 360, 1, 0
1, 2342.0, 585.0, 2, 8, 8, 85.0, 1, 0, 0, 0, 2, 180, 1, 0
1, 1883.0, 415.0, 1, 8, 4, 165.0, 0, 1, 1, 0, 2, 200, 2, 0
0, 1592.0, 2875.0, 2, 11, 4, 85.0, 0, 0, 0, 0, 2, 120, 1, 0
0, 2267.0, 75.0, 2, 8, 4, 2.0, 0, 1, 2, 1, 2, 200, 395, 0
1, 20.0, 11045.0, 2, 8, 4, 2.0, 0, 0, 0, 1, 2, 136, 1, 0
1, 1858.0, 571.0, 2, 2, 4, 54.0, 0, 0, 0, 0, 2, 120, 1, 0
0, 245.0, 104.0, 1, 1, 1, 5.0, 1, 1, 3, 0, 2, 180, 148, 0
0, 4533.0, 1.0, 2, 11, 4, 125.0, 0, 0, 0, 1, 2, 263, 1, 0
1, 3125.0, 1125.0, 2, 1, 1, 0.0, 0, 1, 1, 0, 2, 96, 20, 0
1, 2442.0, 2.0, 2, 10, 2, 165.0, 0, 1, 2, 0, 2, 320, 1301, 0
1, 2358.0, 46.0, 1, 9, 4, 2625.0, 1, 1, 6, 1, 2, 208, 348, 0
0, 2267.0, 7.0, 2, 8, 4, 165.0, 0, 0, 0, 0, 2, 160, 1, 0
0, 3517.0, 375.0, 2, 1, 1, 0.0, 0, 1, 6, 0, 2, 0, 201, 0
0, 1792.0, 1021.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 0, 51, 0
1, 2117.0, 25.0, 1, 8, 8, 25.0, 0, 0, 0, 0, 2, 280, 205, 0
1, 2617.0, 835.0, 2, 13, 4, 1165.0, 0, 0, 0, 0, 2, 100, 1, 0
0, 195.0, 165.0, 2, 11, 4, 4.0, 0, 0, 0, 1, 2, 380, 1, 0
1, 195.0, 9585.0, 2, 6, 4, 79.0, 0, 0, 0, 0, 2, 80, 351, 0
1, 3575.0, 2415.0, 2, 9, 4, 125.0, 0, 1, 2, 0, 2, 220, 2, 0
0, 2042.0, 105.0, 1, 14, 8, 0.0, 0, 0, 0, 1, 2, 154, 33, 0
1, 3408.0, 25.0, 2, 8, 4, 1.0, 0, 0, 0, 0, 2, 460, 17, 0
1, 2567.0, 325.0, 2, 8, 8, 229.0, 0, 1, 1, 1, 2, 416, 22, 0
1, 4425.0, 11.0, 1, 2, 4, 15.0, 1, 0, 0, 0, 1, 0, 1, 0
1, 2208.0, 1146.0, 2, 4, 4, 1585.0, 0, 0, 0, 1, 2, 100, 1213, 0
1, 365.0, 425.0, 2, 11, 4, 35.0, 0, 0, 0, 0, 2, 454, 51, 0
1, 2158.0, 79.0, 1, 13, 4, 665.0, 0, 0, 0, 0, 2, 160, 1, 0
1, 4517.0, 15.0, 2, 8, 4, 25.0, 1, 0, 0, 1, 2, 140, 1, 0
0, 3157.0, 1125.0, 2, 1, 1, 0.0, 0, 0, 0, 0, 2, 184, 5201, 0
1, 2308.0, 115.0, 2, 9, 8, 2125.0, 1, 1, 11, 1, 2, 290, 285, 1
1, 2783.0, 154.0, 2, 9, 4, 375.0, 1, 1, 5, 1, 2, 100, 4, 1
1, 4025.0, 215.0, 2, 10, 9, 20.0, 1, 1, 11, 0, 2, 0, 1201, 1
1, 2958.0, 45.0, 2, 9, 4, 75.0, 1, 1, 2, 1, 2, 330, 1, 1
1, 2825.0, 5125.0, 2, 14, 4, 475.0, 1, 1, 2, 0, 2, 420, 8, 1
1, 345.0, 404.0, 1, 3, 5, 85.0, 1, 1, 7, 1, 2, 195, 1, 1
1, 2025.0, 996.0, 2, 10, 2, 0.0, 1, 0, 0, 0, 2, 0, 1, 1
0, 4083.0, 10.0, 2, 11, 8, 175.0, 1, 0, 0, 0, 2, 29, 838, 1
0, 5708.0, 195.0, 2, 8, 4, 55.0, 1, 1, 7, 0, 2, 0, 3001, 1
1, 3817.0, 10125.0, 2, 14, 4, 25.0, 1, 1, 6, 0, 2, 520, 197, 1
1, 2517.0, 6.0, 2, 8, 4, 1.0, 1, 1, 3, 0, 2, 0, 1, 1
0, 205.0, 11835.0, 2, 8, 8, 6.0, 1, 0, 0, 0, 2, 340, 1, 1
1, 2183.0, 11.0, 2, 14, 4, 29.0, 1, 1, 6, 0, 2, 121, 1, 1
0, 25.0, 1233.0, 2, 13, 8, 35.0, 1, 1, 6, 0, 2, 400, 459, 1
0, 6058.0, 165.0, 2, 11, 4, 11.0, 1, 0, 0, 1, 2, 21, 10562, 1
1, 3317.0, 1.0, 2, 14, 4, 75.0, 1, 1, 7, 1, 2, 340, 4072, 1
1, 3475.0, 15.0, 2, 12, 7, 5375.0, 1, 1, 9, 1, 2, 0, 135, 1
1, 2667.0, 175.0, 1, 8, 4, 1.0, 1, 1, 5, 1, 2, 160, 5778, 1
0, 1892.0, 925.0, 1, 8, 4, 1.0, 1, 1, 4, 1, 2, 80, 501, 1
0, 2042.0, 75.0, 2, 4, 4, 15.0, 1, 1, 1, 0, 2, 160, 235, 1
1, 2333.0, 15.0, 2, 8, 8, 1415.0, 1, 0, 0, 0, 2, 422, 201, 1
0, 2408.0, 5.0, 2, 11, 8, 125.0, 1, 1, 1, 0, 2, 0, 679, 1
1, 3667.0, 325.0, 2, 11, 8, 9.0, 1, 0, 0, 1, 2, 102, 640, 1
1, 2325.0, 1.0, 2, 8, 4, 835.0, 1, 0, 0, 0, 1, 300, 1, 1
1, 27.0, 15.0, 1, 9, 4, 375.0, 1, 0, 0, 1, 2, 260, 1066, 1
1, 40.0, 65.0, 2, 6, 5, 35.0, 1, 1, 1, 0, 2, 0, 501, 1
0, 3067.0, 12.0, 2, 8, 4, 2.0, 1, 1, 1, 0, 2, 220, 20, 1
1, 2133.0, 105.0, 2, 8, 4, 3.0, 1, 0, 0, 1, 2, 0, 1, 1
1, 2833.0, 5.0, 2, 9, 4, 11.0, 1, 0, 0, 1, 2, 70, 1, 1
1, 4133.0, 0.0, 2, 8, 5, 15.0, 1, 0, 0, 0, 2, 0, 1, 1
1, 5158.0, 15.0, 2, 8, 4, 85.0, 1, 1, 9, 0, 2, 0, 1, 1
1, 41.0, 4.0, 2, 10, 4, 4.0, 0, 1, 1, 0, 1, 560, 1, 1
1, 255.0, 375.0, 2, 7, 4, 25.0, 1, 1, 3, 0, 2, 260, 15109, 1
1, 3283.0, 25.0, 2, 13, 8, 275.0, 1, 1, 6, 0, 2, 160, 2073, 1
0, 1967.0, 21.0, 2, 11, 8, 29.0, 1, 1, 11, 0, 2, 80, 100, 1
1, 2017.0, 817.0, 2, 6, 4, 196.0, 1, 1, 14, 0, 2, 60, 159, 1
1, 3417.0, 525.0, 2, 9, 4, 85.0, 0, 0, 0, 1, 2, 290, 7, 1
1, 2308.0, 25.0, 2, 8, 4, 1085.0, 1, 1, 11, 1, 2, 60, 2185, 1
1, 2783.0, 15.0, 2, 9, 4, 2.0, 1, 1, 11, 1, 2, 434, 36, 1
0, 2608.0, 8665.0, 2, 6, 4, 1415.0, 1, 0, 0, 0, 2, 160, 151, 1
0, 25.0, 875.0, 2, 14, 8, 104.0, 1, 0, 0, 1, 2, 160, 5861, 1
1, 4433.0, 5.0, 2, 3, 8, 5.0, 1, 0, 0, 1, 2, 320, 1, 1
0, 1883.0, 4415.0, 1, 8, 8, 3.0, 1, 0, 0, 0, 2, 240, 1, 1
0, 6092.0, 5.0, 2, 6, 4, 4.0, 1, 1, 4, 0, 2, 0, 100, 1
0, 565.0, 16.0, 2, 5, 1, 0.0, 1, 1, 15, 0, 2, 0, 248, 1
1, 3017.0, 65.0, 2, 13, 4, 3125.0, 1, 1, 8, 0, 2, 330, 1201, 1
1, 27.0, 75.0, 2, 8, 8, 425.0, 1, 1, 3, 1, 2, 312, 151, 1
1, 4283.0, 4625.0, 2, 11, 4, 458.0, 1, 0, 0, 0, 1, 0, 1, 1
1, 2042.0, 7.0, 2, 8, 4, 1625.0, 1, 1, 3, 0, 2, 200, 1392, 1
1, 2775.0, 585.0, 1, 13, 4, 25.0, 1, 1, 2, 0, 2, 260, 501, 1
1, 3675.0, 125.0, 1, 8, 4, 15.0, 0, 0, 0, 1, 2, 232, 114, 1
1, 3442.0, 425.0, 2, 3, 5, 325.0, 1, 1, 2, 0, 2, 274, 611, 1
1, 6408.0, 20.0, 2, 14, 8, 175.0, 1, 1, 9, 1, 2, 0, 1001, 1
0, 4433.0, 0.0, 2, 8, 4, 25.0, 1, 0, 0, 0, 2, 0, 1, 1
0, 5867.0, 446.0, 2, 11, 8, 304.0, 1, 1, 6, 0, 2, 43, 561, 1
1, 4875.0, 85.0, 2, 8, 8, 125.0, 1, 1, 9, 0, 2, 181, 1656, 1
1, 7342.0, 1775.0, 2, 1, 1, 0.0, 1, 0, 0, 1, 2, 0, 1, 1
1, 5433.0, 675.0, 2, 8, 8, 2625.0, 1, 1, 11, 1, 2, 0, 285, 1
1, 3225.0, 165.0, 1, 8, 8, 325.0, 1, 1, 1, 1, 2, 432, 8001, 1
1, 7675.0, 2229.0, 2, 10, 9, 1275.0, 1, 1, 1, 1, 2, 0, 110, 1
1, 3417.0, 154.0, 2, 13, 4, 154.0, 1, 1, 1, 1, 2, 520, 50001, 1
