@relation  australian
@attribute A1{0,1}
@attribute A2 real[16.0,8025.0]
@attribute A3 real[0.0,26335.0]
@attribute A4{1,2,3}
@attribute A5 integer[1,14]
@attribute A6 integer[1,9]
@attribute A7 real[0.0,14415.0]
@attribute A8{0,1}
@attribute A9{0,1}
@attribute A10 integer[0,67]
@attribute A11{0,1}
@attribute A12{1,2,3}
@attribute A13 integer[0,2000]
@attribute A14 integer[1,100001]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
@outputs Class
@data
0, 3892.0, 1665.0, 2, 6, 4, 25.0, 0, 0, 0, 0, 2, 0, 391, 0
1, 3142.0, 155.0, 2, 8, 4, 5.0, 1, 0, 0, 0, 2, 120, 1, 0
1, 3942.0, 171.0, 1, 7, 4, 165.0, 0, 0, 0, 0, 1, 400, 1, 0
1, 1633.0, 275.0, 2, 6, 4, 665.0, 0, 1, 1, 0, 2, 80, 22, 0
1, 2067.0, 835.0, 1, 8, 4, 2.0, 0, 0, 0, 1, 1, 240, 1, 0
1, 1517.0, 7.0, 2, 10, 4, 1.0, 0, 0, 0, 0, 2, 600, 1, 0
1, 2725.0, 625.0, 2, 6, 4, 455.0, 1, 0, 0, 1, 2, 200, 1, 0
0, 1608.0, 335.0, 2, 1, 1, 0.0, 0, 1, 1, 0, 2, 160, 127, 0
1, 16.0, 3125.0, 2, 9, 4, 85.0, 0, 1, 1, 0, 2, 0, 7, 0
1, 1817.0, 246.0, 2, 8, 7, 96.0, 0, 1, 2, 1, 2, 160, 588, 0
1, 2667.0, 14585.0, 2, 3, 5, 0.0, 0, 0, 0, 1, 2, 178, 1, 0
0, 2358.0, 585.0, 1, 1, 1, 125.0, 0, 0, 0, 0, 2, 120, 88, 0
1, 195.0, 29.0, 2, 4, 4, 29.0, 0, 0, 0, 0, 2, 280, 365, 0
0, 5575.0, 708.0, 2, 4, 8, 675.0, 1, 1, 3, 1, 2, 100, 51, 0
0, 2542.0, 1125.0, 2, 11, 4, 129.0, 1, 1, 2, 0, 2, 200, 1, 0
0, 2817.0, 585.0, 2, 6, 4, 4.0, 0, 0, 0, 0, 2, 260, 1005, 0
1, 4283.0, 125.0, 2, 7, 4, 13875.0, 0, 1, 1, 1, 2, 352, 113, 0
1, 2783.0, 15.0, 2, 9, 4, 225.0, 0, 1, 1, 1, 2, 100, 4, 0
0, 3317.0, 225.0, 1, 13, 4, 35.0, 0, 0, 0, 1, 2, 200, 142, 0
0, 1958.0, 665.0, 1, 8, 4, 1.0, 0, 1, 1, 0, 2, 2000, 3, 0
1, 2783.0, 1.0, 1, 2, 8, 3.0, 0, 0, 0, 0, 2, 176, 538, 0
1, 3075.0, 1585.0, 2, 2, 4, 585.0, 0, 0, 0, 1, 1, 0, 1, 0
1, 19.0, 175.0, 1, 8, 4, 2335.0, 0, 0, 0, 1, 2, 112, 7, 0
0, 4033.0, 8125.0, 1, 4, 4, 165.0, 0, 1, 2, 0, 2, 184, 19, 0
1, 1842.0, 10415.0, 1, 6, 4, 125.0, 1, 0, 0, 0, 2, 120, 376, 0
1, 2225.0, 46.0, 2, 4, 4, 125.0, 0, 0, 0, 1, 2, 280, 56, 0
1, 3458.0, 0.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 3, 184, 1, 0
0, 2767.0, 204.0, 2, 9, 4, 25.0, 0, 0, 0, 1, 2, 180, 51, 0
1, 3842.0, 705.0, 2, 8, 4, 375.0, 0, 1, 2, 0, 2, 225, 501, 0
1, 3157.0, 625.0, 2, 4, 4, 25.0, 0, 0, 0, 0, 2, 380, 2011, 0
1, 225.0, 125.0, 1, 4, 4, 125.0, 0, 0, 0, 0, 2, 200, 71, 0
1, 1817.0, 1025.0, 2, 8, 8, 1085.0, 0, 0, 0, 0, 2, 320, 14, 0
0, 2358.0, 83.0, 2, 11, 4, 415.0, 0, 1, 1, 1, 2, 200, 12, 0
1, 7483.0, 19.0, 1, 1, 1, 4.0, 0, 1, 2, 0, 2, 0, 352, 0
1, 2325.0, 12625.0, 2, 8, 4, 125.0, 0, 1, 2, 0, 2, 0, 5553, 0
1, 2208.0, 83.0, 2, 8, 8, 2165.0, 0, 0, 0, 1, 2, 128, 1, 1
1, 2667.0, 425.0, 2, 13, 4, 429.0, 1, 1, 1, 1, 2, 120, 1, 1
0, 2867.0, 104.0, 2, 8, 4, 25.0, 1, 1, 5, 1, 2, 300, 1431, 1
1, 3157.0, 105.0, 2, 14, 4, 65.0, 1, 0, 0, 0, 2, 0, 1, 1
1, 425.0, 4915.0, 1, 9, 4, 3165.0, 1, 0, 0, 1, 2, 52, 1443, 1
1, 595.0, 275.0, 2, 9, 4, 175.0, 1, 1, 5, 1, 2, 60, 59, 1
0, 2125.0, 2335.0, 2, 3, 5, 5.0, 1, 1, 4, 0, 1, 80, 1, 1
1, 3492.0, 5.0, 2, 14, 8, 75.0, 1, 1, 6, 1, 2, 0, 1001, 1
1, 4858.0, 205.0, 1, 4, 4, 25.0, 1, 1, 11, 0, 2, 380, 2733, 1
1, 5458.0, 9415.0, 2, 1, 1, 14415.0, 1, 1, 11, 1, 2, 30, 301, 1
1, 2575.0, 75.0, 2, 8, 5, 25.0, 1, 0, 0, 0, 2, 349, 24, 1
0, 4983.0, 13585.0, 2, 4, 8, 85.0, 1, 0, 0, 1, 2, 0, 1, 1
1, 1917.0, 0.0, 1, 7, 5, 0.0, 0, 0, 0, 1, 1, 500, 2, 1
1, 375.0, 1125.0, 1, 2, 4, 15.0, 0, 0, 0, 1, 2, 431, 1, 1
1, 2133.0, 75.0, 2, 6, 4, 1415.0, 1, 1, 1, 0, 2, 80, 9801, 1
1, 3167.0, 83.0, 2, 14, 4, 1335.0, 1, 1, 8, 1, 2, 303, 3291, 1
1, 42.0, 205.0, 2, 3, 8, 5125.0, 1, 0, 0, 0, 2, 400, 1, 1
1, 3133.0, 195.0, 2, 8, 4, 7.0, 1, 1, 16, 0, 2, 0, 5001, 1
0, 2258.0, 1075.0, 2, 11, 4, 415.0, 1, 1, 5, 1, 2, 0, 561, 1
0, 2342.0, 79.0, 1, 11, 4, 15.0, 1, 1, 2, 1, 2, 80, 401, 1
1, 2325.0, 15.0, 2, 11, 4, 2375.0, 1, 1, 3, 1, 2, 0, 583, 1
1, 2275.0, 11.0, 2, 11, 4, 25.0, 1, 1, 7, 1, 2, 100, 810, 1
1, 3633.0, 2125.0, 1, 9, 4, 85.0, 1, 1, 1, 0, 2, 50, 1188, 1
0, 2742.0, 145.0, 2, 14, 8, 3085.0, 1, 1, 1, 0, 2, 120, 12, 1
0, 215.0, 6.0, 2, 6, 4, 25.0, 1, 1, 3, 0, 2, 80, 919, 1
0, 41.0, 204.0, 1, 11, 8, 125.0, 1, 1, 23, 1, 2, 455, 1237, 1
1, 3267.0, 9.0, 1, 9, 8, 525.0, 1, 0, 0, 1, 2, 154, 1, 1
0, 2508.0, 254.0, 1, 6, 4, 25.0, 1, 0, 0, 1, 2, 370, 1, 1
1, 2317.0, 0.0, 2, 13, 4, 85.0, 1, 0, 0, 0, 2, 0, 1, 1
1, 4117.0, 404.0, 2, 13, 8, 7.0, 1, 1, 8, 0, 2, 320, 1, 1
1, 4817.0, 35.0, 2, 6, 4, 35.0, 1, 0, 0, 0, 1, 230, 1, 1
1, 25.0, 125.0, 2, 6, 4, 3.0, 1, 0, 0, 1, 1, 20, 1, 1
1, 3317.0, 104.0, 2, 12, 8, 65.0, 1, 0, 0, 1, 2, 164, 31286, 1
0, 4033.0, 754.0, 1, 11, 8, 8.0, 1, 1, 14, 0, 2, 0, 2301, 1
0, 1758.0, 9.0, 2, 6, 4, 1375.0, 1, 0, 0, 1, 2, 0, 1, 1
0, 1808.0, 375.0, 3, 13, 1, 10.0, 0, 0, 0, 1, 1, 300, 1, 1
1, 2967.0, 1415.0, 2, 9, 8, 75.0, 1, 1, 1, 0, 2, 240, 101, 1
1, 45.0, 85.0, 2, 13, 8, 14.0, 1, 1, 1, 1, 2, 88, 2001, 1
0, 3125.0, 375.0, 2, 13, 8, 625.0, 1, 1, 9, 1, 2, 181, 1, 1
1, 3958.0, 13915.0, 2, 9, 4, 8625.0, 1, 1, 6, 1, 2, 70, 1, 1
1, 3917.0, 1625.0, 2, 8, 4, 15.0, 1, 1, 10, 0, 2, 186, 4701, 1
1, 3867.0, 21.0, 2, 4, 4, 85.0, 1, 0, 0, 1, 2, 280, 1, 1
0, 2325.0, 5875.0, 2, 11, 4, 317.0, 1, 1, 10, 0, 2, 120, 246, 1
0, 7158.0, 0.0, 2, 8, 4, 0.0, 0, 0, 0, 0, 3, 184, 1, 1
0, 36.0, 1.0, 2, 8, 4, 2.0, 1, 1, 11, 0, 2, 0, 457, 1
1, 2725.0, 1665.0, 2, 13, 8, 5085.0, 1, 1, 9, 0, 2, 399, 828, 1
1, 26.0, 1.0, 2, 11, 4, 175.0, 1, 0, 0, 1, 2, 280, 1, 1
1, 3517.0, 25125.0, 2, 14, 8, 1625.0, 1, 1, 1, 1, 2, 515, 501, 1
0, 2067.0, 1835.0, 2, 11, 4, 2085.0, 1, 1, 5, 0, 2, 220, 2504, 1
1, 2017.0, 925.0, 2, 8, 4, 1665.0, 1, 1, 3, 1, 2, 40, 29, 1
1, 4308.0, 375.0, 1, 8, 4, 375.0, 1, 1, 8, 1, 2, 300, 163, 1
1, 2483.0, 275.0, 2, 8, 4, 225.0, 1, 1, 6, 0, 2, 184, 601, 1
0, 4725.0, 75.0, 2, 11, 8, 275.0, 1, 1, 1, 0, 2, 333, 893, 1
1, 5967.0, 154.0, 2, 11, 4, 125.0, 1, 0, 0, 1, 2, 260, 1, 1
1, 3492.0, 25.0, 2, 9, 4, 0.0, 1, 0, 0, 1, 2, 239, 201, 1
0, 4775.0, 8.0, 2, 8, 4, 7875.0, 1, 1, 6, 1, 2, 0, 1261, 1
1, 3667.0, 4415.0, 1, 4, 4, 25.0, 1, 1, 10, 1, 2, 320, 1, 1
1, 21.0, 479.0, 1, 9, 4, 225.0, 1, 1, 1, 1, 2, 80, 301, 1
0, 3542.0, 12.0, 2, 11, 8, 14.0, 1, 1, 8, 0, 2, 0, 6591, 1
0, 6517.0, 14.0, 2, 1, 1, 0.0, 1, 1, 11, 1, 2, 0, 1401, 1
1, 495.0, 7585.0, 2, 3, 5, 7585.0, 1, 1, 15, 1, 2, 0, 5001, 1
0, 4742.0, 8.0, 2, 10, 5, 65.0, 1, 1, 6, 0, 2, 375, 51101, 1
